RA,DE,Internal_ID,main_id,otype,otypes,ra_simbad,dec_simbad,multiple_counterpars,sep2simbad,massive_star,ms_contaminant,giant_label,giant_prob,extragalactic_label,extragalactic_prob,alpha_2_24,intercept_2_24,class_2_24,EW_Li,e_EW_Li,f_EW_Li,li_ref,EW_Li_,e_EW_Li_,f_EW_Li_,li_ref_,Ha_ID,HaRA,HaDE,HaID,Ha_ref,EW_Ha,e_EW_Ha,f_EW_Ha,_EW_Ha,_e_EW_Ha,_f_EW_Ha,e_up_EW_Ha,e_low_EW_Ha,Ha_line_flag,Ha_comment,W10_Ha,e_W10_Ha,e_up_W10_Ha,e_low_W10_Ha,f_W10_Ha,W10_HA_comment,EW_Ha_PHOT,e_EW_Ha_PHOT,Ha_sep,s_sep,s_ref,veiling_ropt,e_veiling_ropt,f_veiling_ropt,comment_veiling_ropt,veiling_rk,e_veiling_rk,f_veiling_rk,comment_veiling_rk,E_rk_1_CG2010,e_low_veiling_rk,veiling_rh,e_veiling_rh,f_veiling_rh,comment_veiling_rh,veiling_r7465,e_veiling_r7465,f_veiling_r7465,comment_veiling_r7465
85.471673,-1.962251,5256,[BCB89] IRS 27,Y*O,*|IR|NIR|X|Y*O,85.47167002,-1.962256791,,0.023436493,false,false,false,0.0,false,,-0.163136053,-10.07961013,flat,,,,,,,,,21703,,,,2023A%26A...674A..26C,-10.586864,0.59143597,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.761,0.106,,,,,,
85.48324,-1.995756,5258,2MASS J05415596-0159447,Y*O,*|NIR|Y*O,85.48323307,-1.995765686,,0.042873143,false,false,false,,false,,-1.167348473,-10.7722943,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.483875,-1.847017,5259,2MASS J05415613-0150491,Y*O,*|NIR|Y*O,85.48390504,-1.847034999,,0.126031775,false,false,false,,false,,-0.518366157,-10.46881103,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.485705,-1.771405,5260,2MASS J05415656-0146168,Y*O,*|NIR|X|Y*O,85.48568809,-1.771406231,,0.060994095,false,false,false,,false,,-2.382617654,-9.708617905,III thin disk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.306,0.0327,,,,,,
85.49452,-2.061627,5262,2MASS J05415868-0203418,Y*O,*|NIR|Y*O,85.49452783,-2.061629061,,0.029126412,false,false,false,0.0,false,0.55,-0.815395248,-10.11552891,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.386,0.0372,,,,,,
85.498884,-1.793627,5263,2MASS J05415976-0147363,Y*O,*|NIR|X|Y*O,85.49898487,-1.793481547,,0.637121278,false,false,false,,false,,-0.840282231,-10.40317452,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.16,0.103,,,,,,
85.515691,-1.853632,5267,2MASS J05420372-0151127,Y*O,*|NIR|X|Y*O,85.51554206,-1.853563648,,0.589686739,false,false,false,,false,,-0.586601247,-10.9358178,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.519495,-1.960806,5268,2MASS J05420467-0157389,Y*O,*|NIR|X|Y*?|Y*O,85.5195058,-1.960826823,,0.084433484,false,false,false,0.0,false,,-0.385635733,-10.60375845,II,,,,,,,,,21707,,,,2023A%26A...674A..26C,-9.931299,0.2468414,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.645,0.0847,,,,,,
85.524185,-1.991368,5269,Kiso A-0904 130,Y*O,*|Em*|MIR|NIR|X|Y*O,85.52420226,-1.991373737,,0.065427211,false,false,false,0.0,false,,-0.319860318,-10.52543639,II,,,,,,,,,21708,,,,2023A%26A...674A..26C,-32.148192,0.7637983,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.886,0.0709,,,,,,
85.539876,-2.001233,5270,2MASS J05420956-0200044,Y*O,*|NIR|X|Y*O,85.53990567,-2.001268689,,0.167029351,false,false,false,0.0,false,0.26,-0.760951416,-10.22850314,II,,,,,,,,,21709,,,,2023A%26A...674A..26C,-20.6456,0.44651136,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.766,0.0629,,,,,,
