RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
84.034584,-6.4105,904,12.7,0.02,12.08,0.03,11.74,0.02,11.22,0.01,10.99,0.01,10.8,0.01,10.24,0.01,8.06,0.05,0.0,-1.72,"D ",2M,Simbad
84.039665,-6.409333,905,14.64,0.03,14.08,0.05,13.74,0.03,13.26,0.01,12.92,0.01,12.74,0.03,12.0,0.03,0.0,0.0,0.0,-1.44,"D ",2M,Simbad
83.98546,-6.4033055,906,15.86,0.07,14.97,0.07,14.71,0.08,14.16,0.01,14.16,0.02,12.63,0.03,10.93,0.02,6.78,0.02,0.26,1.14,"P ",2M,Simbad
84.359,-6.402167,907,15.5,0.06,15.02,0.09,14.52,0.11,14.16,0.01,13.85,0.02,13.49,0.07,12.79,0.07,0.0,0.0,0.0,-1.26,"D ",2M,Simbad
84.127,-6.399083,908,15.07,0.04,14.49,0.05,14.18,0.05,13.71,0.01,13.5,0.01,13.22,0.05,12.65,0.07,0.0,0.0,0.0,-1.62,"D ",2M,Simbad
83.72508,-6.3973613,909,11.69,0.08,10.84,0.08,10.18,0.05,9.42,0.01,9.04,0.01,8.76,0.01,8.15,0.01,5.19,0.02,0.0,-1.4,"D ",2M,Simbad
83.520584,-6.3964443,910,13.1,0.02,12.46,0.03,12.07,0.02,11.57,0.01,11.29,0.01,11.0,0.01,10.57,0.01,0.0,0.0,0.0,-1.68,"D ",2M,Simbad
84.093544,-6.3957224,911,13.91,0.02,12.46,0.03,11.58,0.02,10.58,0.01,10.05,0.01,9.88,0.01,9.29,0.01,6.69,0.02,0.54,-1.43,"D ",2M,Simbad
83.991,-6.395639,912,12.84,0.03,12.3,0.04,12.01,0.03,11.37,0.01,11.05,0.01,10.6,0.01,9.87,0.01,7.44,0.04,0.0,-1.1,"D ",2M,Simbad
83.91075,-6.3953333,913,13.41,0.03,12.75,0.03,12.47,0.02,12.28,0.01,12.21,0.01,12.12,0.02,11.82,0.03,8.28,0.07,0.0,-2.31,"D ",2M,Simbad
84.0525,-6.3942776,914,12.74,0.03,11.8,0.04,11.36,0.03,10.73,0.01,10.46,0.01,10.12,0.01,9.46,0.01,6.51,0.02,0.2,-1.37,"D ",2M,Simbad
83.8465,-6.393528,915,16.85,0.15,15.97,0.16,15.34,0.15,14.44,0.01,14.02,0.02,13.51,0.07,12.77,0.06,9.4,0.18,0.0,-0.9,"D ",2M,Simbad
84.107666,-6.392083,916,0.0,0.0,0.0,0.0,0.0,0.0,15.04,0.02,14.47,0.02,13.78,0.11,13.21,0.13,0.0,0.0,0.0,-0.7,"D ",2M,Simbad
84.08825,-6.391972,917,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.04,13.46,0.04,13.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,"D ",2M,Simbad
84.053955,-6.3918333,918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83,0.01,9.47,0.01,8.87,0.01,5.18,0.01,0.0,0.0,"D ",2M,Simbad
84.091,-6.391611,919,13.44,0.03,11.58,0.03,10.45,0.02,9.04,0.01,8.15,0.01,7.31,0.01,6.28,0.01,3.14,0.01,0.88,0.32,"P ",2M,Simbad
83.90542,-6.39075,920,12.52,0.02,11.88,0.03,11.61,0.02,11.4,0.01,11.32,0.01,11.27,0.01,11.19,0.02,5.94,0.01,0.0,-2.6,"D ",2M,Simbad
84.132706,-6.389694,921,14.94,0.04,14.3,0.04,13.85,0.05,13.42,0.01,13.17,0.01,12.83,0.03,12.09,0.04,9.06,0.13,0.0,-1.3,"D ",2M,Simbad
84.08537,-6.3894444,922,15.22,0.04,13.02,0.03,11.77,0.02,10.59,0.01,10.1,0.01,9.7,0.01,9.12,0.01,6.75,0.02,1.23,-1.17,"D ",2M,Simbad
83.976295,-6.3888335,923,15.56,0.06,15.04,0.1,14.52,0.07,13.96,0.01,13.55,0.01,13.22,0.04,12.72,0.06,0.0,0.0,0.0,-1.43,"D ",2M,Simbad
84.11542,-6.3866944,924,11.9,0.03,11.21,0.03,10.77,0.02,10.38,0.01,10.09,0.01,9.7,0.01,8.9,0.01,6.28,0.01,0.0,-1.13,"D ",2M,Simbad
84.099045,-6.386417,925,14.4,0.09,12.65,0.07,11.11,0.03,8.81,0.01,8.13,0.01,7.53,0.01,6.78,0.01,3.5,0.01,0.43,-0.52,"D ",2M,Simbad
84.12529,-6.386139,926,12.17,0.03,11.04,0.03,10.32,0.02,9.37,0.01,8.96,0.01,8.61,0.01,7.77,0.01,4.2,0.01,0.24,-1.02,"D ",2M,Simbad
84.08975,-6.3812222,927,14.45,0.03,12.29,0.03,10.97,0.02,9.29,0.01,8.7,0.01,8.11,0.01,7.42,0.01,4.1,0.01,1.12,-0.68,"D ",2M,Simbad
